SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532749,ALLCARGO    ,B ,Q,149.25,149.80,147.25,147.75,148.00,150.20,447,20490,3034395.00,
532751,EASUNREYRL  ,B ,Q,14.00,14.30,13.50,13.50,13.50,13.85,27,4398,61223.00,
532754,GMR INFRASTR,A ,Q,17.40,17.55,16.85,17.00,17.00,17.50,1834,2633060,45184542.00,
532755,TECH MAH    ,A ,Q,620.00,641.30,620.00,638.30,640.00,620.95,3180,177408,112544677.00,
532756,MAHINDCIE   ,A ,Q,210.25,217.50,206.90,215.40,215.40,210.65,532,29690,6246125.00,
532757,VOLTAMP TRAN,B ,Q,1087.80,1088.50,1060.00,1063.90,1065.00,1088.25,133,1568,1677154.00,
532759,ATLANTA     ,B ,Q,77.00,78.80,74.25,74.95,75.60,77.75,308,39212,2989980.00,
532760,DEEP INDS   ,B ,Q,151.80,151.85,144.00,145.35,145.35,152.00,290,10900,1608072.00,
532761,HOV SERVICES,B ,Q,237.00,243.00,230.10,231.10,231.00,237.10,65,6681,1554647.00,
532762,ACTION CONST,B ,Q,167.55,170.00,166.60,167.45,166.65,170.95,535,58645,9878693.00,
532764,GEECEE      ,B ,Q,124.30,126.75,124.10,124.30,124.10,126.80,43,4354,546132.00,
532765,USHER AGRO  ,B ,Q,4.10,4.10,3.83,3.84,3.84,4.03,90,78208,300534.00,
532766,RICHA IND   ,X ,Q,9.23,9.90,9.20,9.57,9.52,9.23,69,28616,272475.00,
532767,GAYATRI PROJ,B ,Q,198.55,202.40,198.55,200.85,202.00,200.00,253,8201,1645115.00,
532768,FIEM INDS   ,B ,Q,878.05,890.05,865.00,878.30,887.00,891.65,106,4142,3635996.00,
532770,HANUNG TOYS ,T ,Q,2.48,2.73,2.48,2.73,2.73,2.60,20,8650,23458.00,
532771,JHS SVEN    ,B ,Q,56.80,56.80,53.00,53.65,54.35,56.20,325,37379,2047651.00,
532772,DCBBANK     ,A ,Q,163.45,163.75,160.55,161.40,161.40,164.15,472,220202,35869548.00,
532773,GLOBAL VECT ,B ,Q,119.75,122.00,116.00,117.85,116.00,121.75,243,8592,1027582.00,
532774,ACCEL FRONTL,B ,Q,51.20,54.85,50.85,54.20,54.25,53.05,52,45320,2370308.00,
532775,GTL INFRAST ,B ,Q,2.60,2.63,2.52,2.59,2.59,2.58,418,1067261,2745209.00,
532776,SHIVAM AUTO ,B ,Q,69.00,69.00,66.00,68.10,68.90,69.05,198,16895,1144444.00,
532777,INFO EDGE   ,A ,Q,1184.85,1186.95,1161.00,1166.75,1162.40,1194.70,95,300668,356284501.00,
532778,LANCO INFRA ,T ,Q,1.16,1.16,1.06,1.06,1.06,1.11,384,1799043,1952466.00,
532779,TORNT POWER ,A ,Q,230.50,231.85,226.35,229.10,229.10,232.80,1170,84589,19383440.00,
532780,PARSVNATH   ,B ,Q,14.20,15.05,14.00,15.00,15.00,14.35,56,40720,603882.00,
532782,SUTLEJ TEXT ,B ,Q,71.90,73.70,69.00,71.10,71.25,70.75,53,11752,836758.00,
532783,DAAWAT      ,B ,Q,84.85,86.75,84.45,85.75,85.60,85.10,1175,118168,10129967.00,
532784,SOBHA       ,A ,Q,502.00,511.80,495.00,508.05,508.05,513.20,1245,21225,10714147.00,
532785,RUCHIRA PAP ,B ,Q,164.40,172.40,160.00,165.50,165.50,164.40,101,4723,775563.00,
532787,ESS DEE ALUM,T ,Q,43.90,45.35,42.50,45.35,45.35,43.20,47,5353,238026.00,
532788,XLENERGY    ,T ,Q,1.82,1.84,1.82,1.84,1.84,1.91,3,705,1296.00,
532790,TANLA       ,B ,Q,31.20,31.30,30.45,30.65,30.65,31.35,226,73760,2277025.00,
532794,ZEEMEDIA    ,B ,Q,38.80,38.80,38.05,38.20,38.40,38.65,336,56191,2154177.00,
532795,SITINET     ,B ,Q,15.95,15.95,14.75,15.00,14.75,15.50,260,188310,2849047.00,
532796,LUMAX TECH  ,B ,Q,826.00,840.00,816.20,828.70,828.15,826.10,36,604,500789.00,
532797,AUTOIND     ,T ,Q,66.50,66.50,60.80,61.75,61.70,64.00,37,4145,254622.00,
532798,NTWK MED INV,A ,Q,60.50,62.15,59.30,59.60,59.60,61.20,1123,306905,18573574.00,
532799,HUBTOWN     ,B ,Q,71.50,72.00,68.20,70.25,71.75,72.35,755,84320,5926006.00,
532800,TV18BRDCST  ,A ,Q,68.00,69.95,66.50,67.05,67.05,68.45,2989,1218870,83428331.00,
532801,CAMBRIDGE   ,B ,Q,66.00,66.25,64.60,66.25,66.25,65.00,17,1370,89024.00,
532803,POCHIRAJU IN,T ,Q,4.27,4.27,3.87,3.87,3.87,4.07,6,1951,8150.00,
532804,TECHNOCRAFT ,B ,Q,491.00,492.30,487.35,491.50,492.00,489.85,21,636,311297.00,
532805,REDINGTON   ,A ,Q,143.80,147.80,142.50,146.65,146.50,143.85,170,5873,854062.00,
532806,AI CHAMPDNY ,T ,Q,26.45,26.45,26.45,26.45,26.45,25.20,2,2,52.00,
532807,CINELINE    ,B ,Q,72.00,72.40,70.05,70.15,70.05,72.80,48,12308,885404.00,
532808,PGIL        ,B ,Q,105.10,106.00,105.10,106.00,106.00,106.20,14,1970,208667.00,
532809,FSL         ,A ,Q,52.40,53.60,52.00,53.00,53.00,52.65,3253,1545707,81941452.00,
532810,POWER FINAN ,A ,Q,87.15,87.40,85.30,85.90,85.90,88.40,1494,416506,36006733.00,
532811,AHLUWALIA CO,B ,Q,375.75,384.00,365.00,380.00,380.00,388.35,83,3446,1291264.00,
532813,C & C CONSTR,B ,Q,49.35,49.35,46.50,47.00,47.00,48.25,39,10398,498855.00,
532814,INDIAN BANK ,A ,Q,300.25,306.60,296.60,299.40,296.60,306.70,1272,88798,26788339.00,
532815,SMS PHARMACE,B ,Q,75.00,75.00,73.10,73.65,73.85,74.60,47,3508,258968.00,
532819,MINDTREE LTD,A ,Q,780.00,780.00,767.15,774.00,772.80,772.35,2146,103532,80150512.00,
532820,ELAND       ,B ,Q,11.90,12.20,11.70,11.80,11.80,12.30,35,14440,170987.00,
532822,IDEA CELL   ,A ,Q,80.00,80.70,75.25,75.75,75.75,80.65,4031,4020062,308680034.00,
532823,EURO CERAMIC,B ,Q,5.24,5.49,5.10,5.35,5.35,5.14,13,5027,27323.00,
532826,RAJ TELE    ,B ,Q,51.75,55.55,50.05,53.60,55.55,52.55,27,804,42106.00,
532827,PAGE INDUSTR,A ,Q,22192.00,23000.00,21919.65,22684.65,22800.00,22147.60,244,538,12094361.00,
532828,AMD INDUS   ,T ,Q,27.10,28.90,27.05,27.15,27.05,28.45,48,10143,278524.00,
532829,LAWRESHWAR  ,X ,Q,37.65,37.65,34.65,35.00,35.00,36.40,30,2715,97343.00,
532830,ASTRAL POLY ,A ,Q,882.35,904.90,863.00,895.70,895.70,873.75,445,5691,5065052.00,
532831,ABHI CORP LT,T ,Q,2.80,2.80,2.80,2.80,2.80,2.90,2,202,565.00,
532832,INDBUL REAL ,A ,Q,187.00,188.20,170.20,181.10,181.10,188.75,8637,1551301,281949577.00,
532834,CAMLINFINE  ,B ,Q,100.50,104.00,100.20,101.90,102.75,102.50,570,68091,6992560.00,
532835,ICRA        ,A ,Q,3600.00,3666.00,3596.00,3633.80,3636.00,3607.75,17,26,94050.00,
532839,DISH TV     ,A ,Q,71.00,72.35,70.10,71.15,71.00,72.00,1135,236097,16808629.00,
532841,SAHYA INDU  ,X ,Q,260.90,260.90,242.00,245.25,245.20,256.25,190,20198,5026129.00,
